,0
0,positive
1,negative
2,negative
3,negative
4,positive
5,positive
6,positive
7,negative
8,negative
9,negative
10,positive
11,positive
12,positive
13,positive
14,positive
15,positive
16,negative
17,negative
18,negative
19,positive
20,positive
21,negative
22,negative
23,positive
24,positive
25,positive
26,positive
27,negative
28,negative
29,negative
30,positive
31,negative
32,positive
33,negative
34,positive
35,positive
36,positive
37,positive
38,positive
39,positive
40,positive
41,negative
42,positive
43,negative
44,negative
45,positive
46,positive
47,positive
48,positive
49,negative
50,negative
51,negative
52,negative
53,positive
54,negative
55,positive
56,positive
57,positive
58,negative
59,positive
60,negative
61,positive
62,negative
63,positive
64,positive
65,negative
66,negative
67,positive
68,negative
69,negative
70,positive
71,positive
72,positive
73,negative
74,negative
75,positive
76,negative
77,positive
78,positive
79,positive
80,negative
81,positive
82,negative
83,negative
84,positive
85,negative
86,positive
87,negative
88,negative
89,positive
90,negative
91,negative
92,negative
93,positive
94,negative
95,positive
96,negative
97,negative
98,negative
99,negative
100,negative
101,negative
102,positive
103,positive
104,negative
105,negative
106,positive
107,negative
108,negative
109,positive
110,positive
111,negative
112,positive
113,positive
114,positive
115,negative
116,negative
117,positive
118,positive
119,positive
120,positive
121,positive
122,positive
123,positive
124,positive
125,negative
126,negative
127,negative
128,negative
129,positive
130,positive
131,positive
132,negative
133,positive
134,negative
135,negative
136,positive
137,positive
138,positive
139,positive
140,positive
141,negative
142,positive
143,negative
144,positive
145,positive
146,negative
147,negative
148,negative
149,negative
150,positive
151,negative
152,positive
153,negative
154,positive
155,positive
156,positive
157,positive
158,negative
159,positive
160,negative
161,negative
162,negative
163,positive
164,negative
165,positive
166,negative
167,negative
168,positive
169,positive
170,negative
171,positive
172,positive
173,positive
174,negative
175,positive
176,negative
177,positive
178,positive
179,negative
180,positive
181,positive
182,positive
183,positive
184,positive
185,negative
186,positive
187,positive
188,positive
189,positive
190,positive
191,negative
192,negative
193,negative
194,negative
195,positive
196,negative
197,negative
198,negative
199,negative
200,negative
201,positive
202,positive
203,positive
204,negative
205,negative
206,negative
207,negative
208,positive
209,negative
210,positive
211,negative
212,positive
213,positive
214,negative
215,negative
216,positive
217,negative
218,negative
219,negative
220,negative
221,negative
222,positive
223,negative
224,negative
225,negative
226,positive
227,positive
228,positive
229,positive
230,positive
231,positive
232,negative
233,negative
234,negative
235,positive
236,negative
237,negative
238,positive
239,positive
240,positive
241,negative
242,negative
243,negative
244,negative
245,positive
246,positive
247,positive
248,negative
249,positive
250,negative
251,negative
252,positive
253,negative
254,positive
255,positive
256,positive
257,negative
258,negative
259,positive
260,negative
261,negative
262,negative
263,negative
264,positive
265,positive
266,positive
267,positive
268,negative
269,positive
270,positive
271,negative
272,negative
273,positive
274,negative
275,negative
276,positive
277,positive
278,negative
279,negative
280,negative
281,positive
282,positive
283,positive
284,negative
285,positive
286,positive
287,negative
288,positive
289,positive
290,positive
291,positive
292,negative
293,positive
294,positive
295,negative
296,positive
297,positive
298,negative
299,negative
300,negative
301,positive
302,positive
303,negative
304,positive
305,negative
306,positive
307,positive
308,negative
309,negative
310,positive
311,negative
312,negative
313,negative
314,positive
315,negative
316,negative
317,negative
318,positive
319,positive
320,positive
321,positive
322,positive
323,positive
324,negative
325,positive
326,negative
327,negative
328,negative
329,positive
330,negative
331,negative
332,positive
333,negative
334,positive
335,negative
336,negative
337,negative
338,negative
339,positive
340,negative
341,negative
342,positive
343,negative
344,negative
345,positive
346,negative
347,positive
348,negative
349,negative
350,negative
351,negative
352,negative
353,negative
354,positive
355,positive
356,negative
357,negative
358,positive
359,negative
360,negative
361,positive
362,positive
363,negative
364,negative
365,negative
366,negative
367,negative
368,positive
369,negative
370,positive
371,negative
372,positive
373,positive
374,negative
375,positive
376,negative
377,negative
378,negative
379,negative
380,negative
381,negative
382,positive
383,negative
384,negative
385,negative
386,positive
387,negative
388,positive
389,negative
390,positive
391,positive
392,positive
393,positive
394,positive
395,positive
396,positive
397,negative
398,negative
399,positive
400,positive
401,positive
402,positive
403,positive
404,negative
405,positive
406,negative
407,negative
408,negative
409,negative
410,negative
411,negative
412,positive
413,negative
414,negative
415,negative
416,positive
417,negative
418,positive
419,negative
420,negative
421,positive
422,negative
423,negative
424,negative
425,positive
